Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,18,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,209,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",208,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,208,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,221-224,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",AR 27,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,196-197,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,204,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,AR 179,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,AR 215,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,AR 180,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,22,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,22,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,22,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,AR 169,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,26-33,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,AR 216,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,AR 220,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,AR 207,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,AR 223,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,AR 207,"a, b, c",Confidentiality constraints,CEO compensation is confidential.,
,GRI 2: General Disclosures 2021,2-22 Statement on sustainable development strategy,8-9,,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,23,,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,23,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,34-37,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concerns,26-33,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,154,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,18,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,26-33,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,136,,,,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,34-37,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,36-37,,,,
Economic impacts,GRI 3: Material Topics 2021,3-3 Management of material topics,121-134,,,,11.14.1
Economic impacts,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,154,,,,11.14.2
Economic impacts,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,171,,,,11.14.3
Economic impacts,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,121-134,,,,11.14.4
Economic impacts,GRI 203: Indirect Economic Impacts 2016,203-2 Significant indirect economic impacts,121-134,,,,11.14.5
Economic impacts,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,154,,,,11.14.6
Anti-corruption & Anti-competitive behavior,GRI 3: Material Topics 2021,3-3 Management of material topics,55-58,,,,"11.19.1, 11.20.1"
Anti-corruption & Anti-competitive behavior,GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",AR 173,,,,11.19.2
Anti-corruption & Anti-competitive behavior,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,55-58,,,,11.20.2
Anti-corruption & Anti-competitive behavior,GRI 205: Anti-corruption 2016,205-2 Communication and training about anti-corruption policies and procedures,55-58,,,,11.20.3
Anti-corruption & Anti-competitive behavior,GRI 205: Anti-corruption 2016,205-3 Confirmed incidents of corruption and actions taken,55-58,,,,11.20.4
Payments to governments,GRI 3: Material Topics 2021,3-3 Management of material topics,81-83,,,,11.21.1
Payments to governments,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,154,,,,11.21.2
Payments to governments,GRI 201: Economic Performance 2016,201-4 Financial assistance received from the government,AR 330,,,,11.21.3
Payments to governments,GRI 207: Tax 2019,207-1 Approach to tax,81-83,,,,11.21.4
Payments to governments,GRI 207: Tax 2019,"207-2 Tax governance, control, and risk management",81-83,,,,11.21.5
Payments to governments,GRI 207: Tax 2019,207-3 Stakeholder engagement and management of concerns related to tax,81-83,,,,11.21.6
Payments to governments,GRI 207: Tax 2019,207-4 Country-by-country reporting,155,,,,11.21.7
Supplier chain management,GRI 3: Material Topics 2021,3-3 Management of material topics,68-74,,,,"11.10.1, 11.12.1"
Supplier chain management,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,68-74,,,,
Supplier chain management,GRI 308: Supplier Environmental Assessment 2016,308-2 Negative environmental impacts in the supply chain and actions taken,68-74,,,,
Supplier chain management,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,68-74,,,,"11.10.8, 11.12.3"
Supplier chain management,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,68-74,,,,11.10.9
Information technology and cybersecurity,GRI 3: Material Topics 2021,3-3 Management of material topics,75-80,,,,
Product and service quality & customer relationship,GRI 3: Material Topics 2021,3-3 Management of material topics,44-54,,,,
Product and service quality & customer relationship,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,44-54,,,,11.3.3
Product and service quality & customer relationship,GRI 417: Marketing and Labeling 2016,417-3 Incidents of non-compliance concerning marketing communications,154,,,,
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 3: Material Topics 2021,3-3 Management of material topics,91-94,,,,11.1.1
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 201: Economic Performance 2016,201-2 Financial implications and other risks and opportunities due to climate change,93,,,,11.2.2
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 302: Energy 2016,302-1 Energy consumption within the organization,156,,,,11.1.2
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 302: Energy 2016,302-2 Energy consumption outside of the organization,n/a,"a, b, c",Information unavailable/incomplete,The data of energy outside of the organization will begin to be collected in 2024,11.1.3
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 302: Energy 2016,302-3 Energy intensity,156,,,,11.1.4
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 302: Energy 2016,302-4 Reduction of energy consumption,87-89,,,,
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,157,,,,11.1.5
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 305: Emissions 2016,305-2 Energy indirect (Scope 2) GHG emissions,157,,,,11.1.6
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 305: Emissions 2016,305-3 Other indirect (Scope 3) GHG emissions,157,,,- Reporting boundary for Scope 3 GHG of Upstream transport Via Ship cover domestic and oversea transportation. - Reporting scope of Scope 3 GHG of downstream product transportation via truck also does not include transportation of lube oil product.,11.1.7
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 305: Emissions 2016,305-4 GHG emissions intensity,157,,,,11.1.8
"GHG Emissions & Climate adaptation, resilience, and transition",GRI 305: Emissions 2016,305-5 Reduction of GHG emissions,157,,,,11.2.3
Air emissions,GRI 3: Material Topics 2021,3-3 Management of material topics,102-104,,,,11.3.1
Air emissions,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",158,,,,11.3.2
Biodiversity,GRI 3: Material Topics 2021,3-3 Management of material topics,108-109,,,,11.4.1
Biodiversity,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,"Omission on GRI 304-1 a (vi, vii)",Information unavailable/incomplete,The data of biodiversity value characterized will begin to be collected in 2027,11.4.2
Biodiversity,GRI 304: Biodiversity 2016,"304-2 Significant impacts of activities, products and services on biodiversity",108-109,,,,11.4.3
Biodiversity,GRI 304: Biodiversity 2016,304-3 Habitats protected or restored,Biodiversity Management,,,,11.4.4
Biodiversity,GRI 304: Biodiversity 2016,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,Biodiversity Management,,,,11.4.5
Waste,GRI 3: Material Topics 2021,3-3 Management of material topics,105-107,,,,11.5.1
Waste,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,105-107,,,,11.5.2
Waste,GRI 306: Waste 2020,306-2 Management of significant waste-related impacts,105-107,,,,11.5.3
Waste,GRI 306: Waste 2020,306-3 Waste generated,162,,,,11.5.4
Waste,GRI 306: Waste 2020,306-4 Waste diverted from disposal,163,,,,11.5.5
Waste,GRI 306: Waste 2020,306-5 Waste directed to disposal,163,,,,11.5.6
Water and effluents,GRI 3: Material Topics 2021,3-3 Management of material topics,95-99,,,,11.6.1
Water and effluents,GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,95-99,,,,11.6.2
Water and effluents,GRI 303: Water and Effluents 2018,303-2 Management of water discharge-related impacts,95-99,,,,11.6.3
Water and effluents,GRI 303: Water and Effluents 2018,303-3 Water withdrawal,159-160,,,,11.6.4
Water and effluents,GRI 303: Water and Effluents 2018,303-4 Water discharge,160,,,,11.6.5
Water and effluents,GRI 303: Water and Effluents 2018,303-5 Water consumption,161,,,,11.6.6
Asset integrity and critical incident management,GRI 3: Material Topics 2021,3-3 Management of material topics,100-101,,,,11.8.1
Asset integrity and critical incident management,GRI 306: Effluents and Waste 2016,306-3 Significant spill,175,,,,11.8.2
Occupational health and safety,GRI 3: Material Topics 2021,3-3 Management of material topics,114-120,,,,11.9.1
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,114-120,,,,11.9.2
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-2 Hazard identification, risk assessment, and incident investigation",114-120,,,,11.9.3
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-3 Occupational health services,114-120,,,,11.9.4
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,"403-4 Worker participation, consultation, and communication on occupational health and safety",114-120,,,,11.9.5
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-5 Worker training on occupational health and safety,114-120,,,,11.9.6
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-6 Promotion of worker health,114-120,,,,11.9.7
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,114-120,,,,11.9.8
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-8 Workers covered by an occupational health and safety management system,114-120,,,,11.9.9
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-9 Work-related injuries,174,,,,11.9.10
Occupational health and safety,GRI 403: Occupational Health and Safety 2018,403-10 Work-related ill health,174,,,,11.9.11
Employment Practices,GRI 3: Material Topics 2021,3-3 Management of material topics,135-144,,,,"11.10.1, 11.11.1"
Employment Practices,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,168,,,,11.10.2
Employment Practices,GRI 401: Employment 2016,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,142,,,,11.10.3
Employment Practices,GRI 401: Employment 2016,401-3 Parental leave,169,,,,"11.10.4, 11.11.3"
Employment Practices,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,142,,,,11.10.5
Employment Practices,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,170,,,,"11.10.6, 11.11.4"
Employment Practices,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,138-139,,,,11.10.7
Employment Practices,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,144,,,,
Non-discrimination and equal opportunity,GRI 3: Material Topics 2021,3-3 Management of material topics,145-151,,,,11.11.1
Non-discrimination and equal opportunity,GRI 202: Market Presence 2016,202-2 Proportion of senior management hired from the local community,171,,,,11.11.2
Non-discrimination and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,196-197,,,,11.11.5
Non-discrimination and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,202,,,,11.11.6
