Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
,GRI 2: General Disclosures 2021,2-1 Organizational details,6,,,,
,GRI 2: General Disclosures 2021,2-2 Entities included in the organization’s sustainability reporting,3,,,,
,GRI 2: General Disclosures 2021,"2-3 Reporting period, frequency and contact point",3,,,,
,GRI 2: General Disclosures 2021,2-4 Restatements of information,3,,,,
,GRI 2: General Disclosures 2021,2-5 External assurance,3,,,,
,GRI 2: General Disclosures 2021,"2-6 Activities, value chain and other business relationships",6,,,,
,GRI 2: General Disclosures 2021,2-7 Employees,84 - 86,,,,
,GRI 2: General Disclosures 2021,2-8 Workers who are not employees,6,,,,
,GRI 2: General Disclosures 2021,2-9 Governance structure and composition,69,,,,
,GRI 2: General Disclosures 2021,2-10 Nomination and selection of the highest governance body,69,,,,
,GRI 2: General Disclosures 2021,2-11 Chair of the highest governance body,68,,,,
,GRI 2: General Disclosures 2021,2-12 Role of the highest governance body in overseeing the management of impacts,17,,,,
,GRI 2: General Disclosures 2021,2-13 Delegation of responsibility for managing impacts,17,,,,
,GRI 2: General Disclosures 2021,2-14 Role of the highest governance body in sustainability reporting,17,,,,
,GRI 2: General Disclosures 2021,2-15 Conflicts of interest,70,,,,
,GRI 2: General Disclosures 2021,2-16 Communication of critical concerns,26,,,,
,GRI 2: General Disclosures 2021,2-17 Collective knowledge of the highest governance body,16,,,,
,GRI 2: General Disclosures 2021,2-18 Evaluation of the performance of the highest governance body,17,,,,
,GRI 2: General Disclosures 2021,2-19 Remuneration policies,70,,,,
,GRI 2: General Disclosures 2021,2-20 Process to determine remuneration,70,,,,
,GRI 2: General Disclosures 2021,2-21 Annual total compensation ratio,,"a, b, c",Confidentiality constraints,CEO Compensation is confidential,
,GRI 2: General Disclosures 2021,2-22 Statement of sustainable development strategy,"6, 11, 15",,,,
,GRI 2: General Disclosures 2021,2-23 Policy commitments,"15, 71",,,,
,GRI 2: General Disclosures 2021,2-24 Embedding policy commitments,15,,,,
,GRI 2: General Disclosures 2021,2-25 Processes to remediate negative impacts,26,,,,
,GRI 2: General Disclosures 2021,2-26 Mechanisms for seeking advice and raising concern,72,,,,
,GRI 2: General Disclosures 2021,2-27 Compliance with laws and regulations,72,,,,
,GRI 2: General Disclosures 2021,2-28 Membership associations,13,,,,
,GRI 2: General Disclosures 2021,2-29 Approach to stakeholder engagement,23,,,,
,GRI 2: General Disclosures 2021,2-30 Collective bargaining agreements,,"a, b",Not applicable,There is no labor union established in the company.,
,GRI 3: Material Topics 2021,3-1 Process to determine material topics,18,,,,
,GRI 3: Material Topics 2021,3-2 List of material topics,19 - 21,,,,
Spill prevention and response,GRI 3: Material Topics 2021,3-3 Management of material topics,29,,,,11.8.1
Spill prevention and response,GRI 306: Effluents and waste 2016,306-3 Significant spills,80,,,,11.8.2
Air quality,GRI 3: Material Topics 2021,3-3 Management of material topics,34,,,,11.3.1
Air quality,GRI 305: Emissions 2016,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions","35, 82",,,,11.3.2
Air quality,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,,a,Information unavailable / incomplete,No percentage assessment,11.3.3
Energy efficiency and minimize carbon footprint,GRI 3: Material Topics 2021,3-3 Management of material topics,37,,,,11.1.1
Energy efficiency and minimize carbon footprint,GRI 302: Energy 2016,302-1 Energy consumption within the organization,"37, 83",,,,11.1.1
