Material Topic,GRI Standard / Other Source,Disclosure,Location,Requirement(s) Omitted,Omission - Reason,Omission - Explanation,GRI Sector Standard Ref. No.
Training and education,GRI 3: Material Topics 2021,3-3 Management of material topics,Competence development - pp.120-127,,,,11.10.1
Training and education,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,Competence development - pp.122,,,,"11.10.6, 11.11.4"
Training and education,GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,Competence development - pp.103-107,,,,
Training and education,GRI 404: Training and Education 2016,404-3 Percentage of employees receiving regular performance and career development reviews,Performance appraisal - p.107,,,,
Diversity and equal opportunity,GRI 3: Material Topics 2021,3-3 Management of material topics,Diversity Equity & Inclusion - pp.91-95,,,,11.11.1
Diversity and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,Diversity Equity & Inclusion - pp.91-95,,,,11.11.5
Diversity and equal opportunity,GRI 405: Diversity and Equal Opportunity 2016,405-2 Ratio of basic salary and remuneration of women to men,Remuneration systems - pp.96,,,,11.11.6
Non-discrimination,GRI 3: Material Topics 2021,3-3 Management of material topics,Diversity Equity & Inclusion - pp.91-95,,,,11.11.1
Non-discrimination,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,Diversity Equity & Inclusion - pp.91; Human Rights Respect - p.75,,,,11.11.7
Local communities,GRI 3: Material Topics 2021,3-3 Management of material topics,Development and protection of land and local communities - p.205-212,,,,11.15.1
Local communities,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",Development and protection of land and local communities - p.205-212,,,,11.15.2
Local communities,GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,Materiality analysis - p.45-60,,,,11.15.3
Supplier social assessment,GRI 3: Material Topics 2021,3-3 Management of material topics,Suppliers assessment - pp.219-221,,,,11.10.1
Supplier social assessment,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,Suppliers assessment - pp.219-221,,,,11.10.8
Supplier social assessment,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,,All indicator,Information unavailable/incomplete,Information not available as Saras does not currently have data collection systems for the information concerned,11.10.9
Customer health and safety,GRI 3: Material Topics 2021,3-3 Management of material topics,The internal control and risk management system - pp.67-70,,,,11.3.1
Customer health and safety,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,"At the moment, Saras does not conduct specific assessments regarding this topic.",,,,11.3.3
